"You request for product %1 accepted for review!","Ваш запит на продукт %1 прийнято на розгляд!"
"Your request can't be sent. Please, contact us if you see this message.","Ваш запит не може бути відправлено. Будь ласка, зв'яжіться з нами якщо ви бачите це повідомлення."
"Request Personal Discount","Отримати знижку"
"Requested product:","Продукт:"
"Message: %1","Моє повідомлення: %1"
"Discount Request","Персональна знижка"
Name,Ім'я
"Email","Електронна пошта"
Message,Повідомлення
"Request a Discount","Request a Discount"
"Posting your request...","Обробляємо запит..."
Error,Помилка
"Discount request for this product has already been sent","Запит на знижку для цього продукту вже було надіслано"
"Personal Discount","Персональна знижка"
